"last_name, first_name","player_id","year","pa","hit","single","double","triple","home_run","k_percent","bb_percent","on_base_plus_slg","exit_velocity_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","groundballs_percent","flyballs_percent"
"Seager, Kyle","572122","2020","248","49","28","12","0","9",13.3,12.9,"0.788","89.1",30.7,10.2,6.3,39.8,"98.417159318","93.543557614",20.4,40.3,36.4,36.4
"Voit III, Luke","572228","2020","234","59","32","5","0","22",23.1,7.3,"0.948","88.9",37.5,13.1,6.3,40,"100.684343544","94.623051203",27.6,52.1,41.3,30
"Walker, Christian","572233","2020","243","59","33","18","1","7",20.6,7.8,"0.792","90.4",34.5,6.4,10.5,48.5,"101.908890353","95.476667059",27.1,51.8,42.7,22.8
"Dickerson, Corey","572816","2020","210","50","37","5","1","7",16.7,7.1,"0.713","85.7",25.8,5.7,3.1,30.8,"97.061493671","92.538034367",25.7,53.4,52.2,23.3
"Yastrzemski, Mike","573262","2020","225","57","29","14","4","10",24.4,13.3,"0.968","88.2",35,10.9,9.5,42.3,"99.26844913","93.715521022",24.7,39.1,38.7,29.2
"Contreras, Willson","575929","2020","225","46","29","10","0","7",25.3,8.9,"0.763","89.8",35.8,10.4,6.7,47.8,"102.281617612","95.465128571",33.6,47.9,49.3,19.4
"Canha, Mark","592192","2020","243","47","28","12","2","5",22.2,15.2,"0.795","89.7",37.3,7.7,8.5,39.4,"98.907806143","93.708491143",24,38,33.8,31.7
"Castellanos, Nick","592206","2020","242","49","22","11","2","14",28.5,7.9,"0.784","91",39.3,16,6.7,46.7,"100.5504196","94.703394832",34.2,51.8,36,30
"Machado, Manny","592518","2020","254","68","39","12","1","16",14.6,10.2,"0.950","90.2",34.6,11,3.7,43.5,"102.695949158","95.565070368",21.7,46.7,38.2,24.1
"Moran, Colin","592567","2020","200","44","24","10","0","10",26,9.5,"0.797","91.9",32.3,13.4,2.4,47.2,"102.613770159","95.95598352",28,49.9,57.5,17.3
"Realmuto, J.T.","592663","2020","195","46","29","6","0","11",24.6,8.2,"0.840","90.2",32.8,13.6,5.6,42.4,"101.277934921","95.12123304",29.8,45.3,48.8,25.6
"Rosario, Eddie","592696","2020","231","54","34","7","0","13",14.7,8.2,"0.792","87.5",30.3,6.2,8.4,35.4,"97.149699091","92.643316171",22.6,51.9,36.5,33.1
"Yelich, Christian","592885","2020","247","41","21","7","1","12",30.8,18.6,"0.786","94",32.3,12.1,8.1,55.6,"103.843596557","97.02065123",33.6,34.6,51.6,22.6
"Merrifield, Whit","593160","2020","265","70","49","12","0","9",12.5,4.5,"0.765","86.1",39.8,5.1,4.6,27.3,"95.855324206","91.961579112",16.1,49.3,37.5,29.2
"Bogaerts, Xander","593428","2020","225","61","42","8","0","11",18.2,9.3,"0.866","89",31.3,8.6,5.5,36.8,"99.721139136","94.010233642",23,43.6,45.4,27.6
"Alberto, Hanser","593643","2020","231","62","44","15","0","3",13,2.2,"0.699","82.3",32.6,1,3.1,20.7,"93.472612717","90.856123497",16.7,62.9,47.2,19.2
"Polanco, Jorge","593871","2020","226","54","42","8","0","4",15.5,5.8,"0.658","86.6",39,2.8,5.1,33.3,"96.651106591","92.358275714",16.8,43.7,37.3,27.7
"Sanó, Miguel","593934","2020","205","38","13","12","0","13",43.9,8.8,"0.756","95.2",31.3,22.9,9.4,57.3,"107.128241875","98.788112737",42.6,47.3,37.5,29.2
"Calhoun, Kole","594777","2020","228","43","18","9","0","16",21.9,12.3,"0.864","89.4",36.1,11.8,8.3,38.2,"99.503862113","93.982617872",32.7,46.8,40.3,32.6
"Duvall, Adam","594807","2020","209","45","21","8","0","16",25.8,7.2,"0.833","88.1",30.7,13.9,5.1,40.1,"100.670608824","94.472182941",27.1,49,29.9,39.4
"Profar, Jurickson","595777","2020","202","50","37","6","0","7",13.9,7.4,"0.771","87.2",35.5,3.2,3.2,27.7,"96.940536711","92.4870825",20.1,47.1,43.9,18.7
"Báez, Javier","595879","2020","235","45","27","9","1","8",31.9,3,"0.598","89.4",24.8,8.1,7.4,40.3,"101.31207375","94.809897708",37.8,53.2,50.3,22.8
"Lindor, Francisco","596019","2020","266","61","40","13","0","8",15.4,9,"0.750","89.9",36.5,5.6,9.1,41.1,"99.684694433","94.059685052",20.3,48.9,39.6,24.4
"Story, Trevor","596115","2020","259","68","40","13","4","11",24.3,9.3,"0.874","89.9",40.1,8.7,7.6,41.3,"100.396057209","94.467090526",25.7,45.8,29.7,30.2
"Kepler, Max","596146","2020","196","39","21","9","0","9",18.4,11.2,"0.760","88.5",30.9,5.1,7.4,38.2,"99.204226765","93.676104222",21.2,44.8,32.4,26.5
"Franco, Maikel","596748","2020","243","62","38","16","0","8",15.6,6.6,"0.778","86.7",33.3,5.8,7.9,38.6,"100.224684468","94.175420214",24.6,49.9,46,17.5
"Bradley Jr., Jackie","598265","2020","217","54","36","11","0","7",22.1,10.6,"0.814","88.4",28.5,7.6,4.2,36.4,"98.602853571","93.472785429",25.9,45.3,54.9,20.8
"La Stella, Tommy","600303","2020","228","55","34","14","2","5",5.3,11.8,"0.819","88",32.1,4.8,3.7,28.3,"96.273957849","92.214603892",11.2,38.1,40.1,28.3
"Núñez, Renato","600524","2020","216","50","28","10","0","12",29.6,7.9,"0.816","86.3",37.9,12.1,4.5,36.4,"98.851627273","93.444118636",30.1,52.1,32.6,27.3
"Candelario, Jeimer","600869","2020","206","55","34","11","3","7",23.8,9.7,"0.872","90.2",37.5,10.3,6.6,47.1,"101.954374925","95.267632164",27.6,45,40.4,24.3
"Ahmed, Nick","605113","2020","217","53","37","10","1","5",21.2,8.3,"0.729","87.7",30.1,5.2,5.2,33.3,"97.979172667","93.079952",27.4,48.2,51.6,15
"Anderson, Brian","605119","2020","229","51","32","7","1","11",28.8,9.6,"0.810","87.4",34.8,9.6,6.7,39.3,"99.102413382","93.651971037",34.4,49.1,48.9,23.7
"Bell, Josh","605137","2020","223","44","33","3","0","8",26.5,9.9,"0.669","91.7",24.3,8.6,3.6,42.9,"102.09961","95.3740285",33.6,45.9,56.4,19.3
"Betts, Mookie","605141","2020","246","64","38","9","1","16",15.4,9.8,"0.928","90.7",40.1,7.7,11,43.4,"99.966803556","94.311948056",13.8,40.5,33,31.3
"Davis, J.D.","605204","2020","229","47","32","9","0","6",24.5,13.5,"0.760","90.1",29.6,8.9,4.4,45.2,"102.105949851","95.319305299",29.3,44.9,56.3,15.6
"Arcia, Orlando","606115","2020","189","45","29","10","1","5",16.9,7.4,"0.733","89",37.3,5.6,6.3,38.7,"99.346351","93.890230143",23.1,46.8,47.2,16.2
"Tapia, Raimel","606132","2020","206","59","48","8","2","1",18.4,6.8,"0.771","85.3",28.7,2,2.7,30,"96.593740405","92.307061689",18.7,51.1,56,17.3
"Hernández, Teoscar","606192","2020","207","55","32","7","0","16",30.4,6.8,"0.919","93.3",40.6,18,4.7,53.1,"104.846097031","97.246447559",34.9,46.4,38.3,30.5
"Marte, Ketel","606466","2020","195","52","35","14","1","2",10.8,3.6,"0.732","89.2",28.8,3.7,6.1,40.5,"100.204872785","94.245687975",14.1,45,46.6,20.2
"Nimmo, Brandon","607043","2020","225","52","33","8","3","8",19.1,14.7,"0.888","87.2",30.8,7.7,4.2,32.9,"97.980723714","93.071893214",21.6,41.6,47.6,20.3
"Turner, Trea","607208","2020","259","78","47","15","4","12",13.9,8.5,"0.982","90.5",34.2,9.5,6,40.7,"100.635350612","94.552732551",19.6,46.9,44.7,23.1
"Pillar, Kevin","607680","2020","223","60","39","12","3","6",18.4,5.8,"0.798","87.1",34.7,5.4,5.4,36.5,"98.092420244","93.134598773",25.3,51.9,40.7,25.1
"Ramírez, José","608070","2020","254","64","30","16","1","17",16.9,12.2,"0.993","88.7",36.7,10.2,6.2,35.6,"99.264116591","93.668352686",16.6,41.4,29.9,29.4
"Gallo, Joey","608336","2020","226","35","17","8","0","10",35,12.8,"0.679","91.2",28.9,14,4.4,43.9,"102.04771537","95.481172685",37.4,43.6,31.6,33.3
"Seager, Corey","608369","2020","232","65","37","12","1","15",15.9,7.3,"0.943","93.2",38.4,15.8,13,55.9,"103.805088736","96.925112586",25.8,55.6,40.1,31.1
"Mondesi, Adalberto","609275","2020","233","56","36","11","3","6",30,4.7,"0.710","90.6",19.9,7.3,2.6,39.1,"100.463874118","94.6236125",39.8,54.5,51.7,23.2
"Reyes, Franmil","614177","2020","241","58","39","10","0","9",28.6,10,"0.794","92.4",31.3,12.9,4.8,44.9,"103.394751806","96.328288182",38.5,46,51,23.1
"Swanson, Dansby","621020","2020","264","65","40","15","0","10",26.9,8.3,"0.809","89.1",40.7,11.4,4.8,40.7,"99.696452771","94.009281333",31.6,47.2,38.9,29.3
"Taylor, Chris","621035","2020","214","50","30","10","2","8",25.7,12.1,"0.842","88",35.1,11.5,8.4,45,"101.014144762","94.70205312",32.5,44.9,48.1,20.6
"Correa, Carlos","621043","2020","221","53","39","9","0","5",22.2,7.2,"0.709","88.8",26.1,5.9,6.5,42.1,"99.799884079","94.072529338",24.4,47.1,49.7,20.9
"Olson, Matt","621566","2020","245","41","22","4","1","14",31.4,13.9,"0.734","92.3",30.1,12.8,8.3,45.9,"102.764032969","95.948013281",34.8,42.7,35.3,29.3
"Reyes, Victor","622682","2020","213","56","43","7","2","4",21.1,4.2,"0.706","90",39.5,3.8,6.4,41.4,"98.63923961","93.618739286",26.4,54.2,47.1,22.3
"Alonso, Pete","624413","2020","239","48","26","6","0","16",25.5,10,"0.816","90.2",30.4,12.8,4.7,41.2,"102.386786986","95.44273469",30.4,46.1,39.9,29.7
"Biggio, Cavan","624415","2020","265","55","31","16","0","8",23,15.5,"0.807","87.4",31.4,5,8.8,30.8,"96.787761519","92.575247452",23,36.3,39.6,31.4
"Conforto, Michael","624424","2020","233","65","44","12","0","9",24.5,10.3,"0.927","88.4",38.6,11,6.2,36.6,"99.863468082","94.033462897",26,44.2,41.4,20
"Frazier, Adam","624428","2020","230","48","34","7","0","7",15.2,7.4,"0.661","85.5",34.9,4,2.9,25.1,"95.606103488","91.803051744",16.4,46.2,45.1,22.3
"Cronenworth, Jake","630105","2020","192","49","27","15","3","4",15.6,9.4,"0.831","89.8",37.8,10.5,5.6,42.7,"99.954348592","94.317753732",16.7,39.8,44.8,25.2
"Anderson, Tim","641313","2020","221","67","45","11","1","10",22.6,4.5,"0.886","87.2",33.3,10.1,4.4,35.8,"99.049571899","93.615060633",30.9,55.2,56,22
"Bellinger, Cody","641355","2020","243","51","29","10","0","12",17.3,12.3,"0.788","89.3",29.2,9.4,7,41.5,"100.513292857","94.455236287",23.3,47.6,39.8,29.2
"Crawford, J.P.","641487","2020","232","52","41","7","2","2",16.8,9.9,"0.674","85.8",34.1,1.8,6.6,31.1,"97.315126098","92.657563049",18.2,41.1,44.3,17.4
"Dozier, Hunter","641531","2020","186","36","24","4","2","6",25.8,14.5,"0.736","86.4",26.4,8.2,2.7,30.9,"98.298979455","93.253164404",30.9,41.9,39.1,25.5
"Lewis, Kyle","641786","2020","242","54","40","3","0","11",29.3,14,"0.801","88.3",37.2,11.7,7.3,35,"98.801784265","93.501654412",36.3,43.2,43.1,30.7
"McMahon, Ryan","641857","2020","193","37","21","6","1","9",34.2,9.3,"0.714","90.1",27.1,11.2,4.7,43,"101.166563962","94.858618952",31.4,47.3,50.5,28
"Smith, Dominic","642086","2020","199","56","24","21","1","10",22.6,7,"0.993","89.8",43,13.3,5.9,46.7,"100.278953134","94.610905149",26,51.9,41.5,20.7
"Adames, Willy","642715","2020","205","48","24","15","1","8",36.1,9.8,"0.813","88.8",36.9,9.9,9,40.5,"100.611447818","94.419791091",38.7,46.2,45,17.1
"Kiner-Falefa, Isiah","643396","2020","228","59","49","4","3","3",14,6.1,"0.699","87.2",22.2,2.2,2.8,31.1,"96.603922889","92.344912179",15.8,47.4,61.7,16.1
